"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"masked_patient_surrogate_key","556241","278121","160573","1","139061","417181","556241"
"patient_sex","556241","","","","","",""
"... Female","321870","58%","","","","",""
"... Male","234347","42%","","","","",""
"... Unknown","24","0%","","","","",""
"patient_race","556241","","","","","",""
"... ASIAN","14159","3%","","","","",""
"... BLACK","81122","15%","","","","",""
"... OTHER","30518","5%","","","","",""
"... UNABLE TO DETERMINE","14053","3%","","","","",""
"... WHITE","416389","75%","","","","",""
"length_of_stay","556241","7.5","12","1","3","9","950"
"specificity_of_principal_diagnosis","556241","","","","","",""
"... N/A","544217","98%","","","","",""
"... NO","9911","2%","","","","",""
"... YES","2113","0%","","","","",""
"count_of_secondary_diagnosis_codes","556241","22","8.8","2","16","27","123"
"sdx_cohort_code_count","556241","1.1","0.34","0","1","1","10"
"count_of_procedure_codes","556241","2.7","2.3","2","2","2","110"
"icd_10_coding_period","556241","2022","0.44","2022","2022","2023","2023"
"covid_19_indicator","556241","0.13","0.33","0","0","0","1"
"base_ms_drg_code","556241","162","97","1","66","226","337"
"ms_drg_type","556241","","","","","",""
"... Medical","471093","85%","","","","",""
"... Surgical","85148","15%","","","","",""
"masked_facility_id","556241","581","345","1","287","891","1212"
"facility_teaching_status","556241","","","","","",""
"... (null)","7401","1%","","","","",""
"... NO","424009","76%","","","","",""
"... YES","124831","22%","","","","",""
"facility_academic_status","556241","","","","","",""
"... NO","481025","86%","","","","",""
"... YES","75216","14%","","","","",""
"facility_urban_rural_status","556241","","","","","",""
"... RURAL","67850","12%","","","","",""
"... URBAN","488391","88%","","","","",""
