"Variable","N","Mean","Std. Dev.","Min","Pctl. 25","Pctl. 75","Max"
"Teaching","487775","","","","","",""
"... NO","378768","78%","","","","",""
"... Not available","6221","1%","","","","",""
"... YES","102786","21%","","","","",""
"Academic","487775","","","","","",""
"... NO","415274","85%","","","","",""
"... YES","72501","15%","","","","",""
"Rural","487775","","","","","",""
"... URBAN","421571","86%","","","","",""
"... RURAL","66204","14%","","","","",""
"Ownership","487775","","","","","",""
"... Voluntary non-profit - Private","312992","64%","","","","",""
"... Government - Federal","1118","0%","","","","",""
"... Government - Hospital District or Authority","32417","7%","","","","",""
"... Government - Local","11798","2%","","","","",""
"... Government - State","3611","1%","","","","",""
"... Not available","2248","0%","","","","",""
"... Physician","1032","0%","","","","",""
"... Proprietary","25459","5%","","","","",""
"... Voluntary non-profit - Church","71085","15%","","","","",""
"... Voluntary non-profit - Other","26015","5%","","","","",""
"Beds","487775","","","","","",""
"... > 400","188038","39%","","","","",""
"... 1-50","12300","3%","","","","",""
"... 101-150","38616","8%","","","","",""
"... 151-200","32908","7%","","","","",""
"... 201-250","47519","10%","","","","",""
"... 251-300","50418","10%","","","","",""
"... 301-350","53077","11%","","","","",""
"... 351-400","39018","8%","","","","",""
"... 51-100","25881","5%","","","","",""
"CMI","487775","1.7","0.26","0.79","1.5","1.8","5.1"
"State","487775","","","","","",""
"... NY","45302","9%","","","","",""
"... AK","253","0%","","","","",""
"... AL","3966","1%","","","","",""
"... AR","3789","1%","","","","",""
"... AZ","12029","2%","","","","",""
"... CA","27281","6%","","","","",""
"... CO","3578","1%","","","","",""
"... CT","5982","1%","","","","",""
"... DE","1125","0%","","","","",""
"... FL","60713","12%","","","","",""
"... GA","7318","2%","","","","",""
"... HI","6038","1%","","","","",""
"... IA","4759","1%","","","","",""
"... ID","28","0%","","","","",""
"... IL","18082","4%","","","","",""
"... IN","6646","1%","","","","",""
"... KS","2856","1%","","","","",""
"... KY","10899","2%","","","","",""
"... LA","3505","1%","","","","",""
"... MA","4549","1%","","","","",""
"... MD","7131","1%","","","","",""
"... ME","21","0%","","","","",""
"... MI","22526","5%","","","","",""
"... MN","3431","1%","","","","",""
"... MO","3382","1%","","","","",""
"... MS","6744","1%","","","","",""
"... MT","1374","0%","","","","",""
"... NC","27936","6%","","","","",""
"... ND","676","0%","","","","",""
"... NE","1965","0%","","","","",""
"... NH","57","0%","","","","",""
"... NJ","9184","2%","","","","",""
"... NM","2360","0%","","","","",""
"... NV","5537","1%","","","","",""
"... OH","22769","5%","","","","",""
"... OK","7968","2%","","","","",""
"... OR","7750","2%","","","","",""
"... PA","24500","5%","","","","",""
"... RI","15","0%","","","","",""
"... SC","10009","2%","","","","",""
"... SD","1194","0%","","","","",""
"... TN","16120","3%","","","","",""
"... TX","32134","7%","","","","",""
"... UT","38","0%","","","","",""
"... VA","16695","3%","","","","",""
"... VT","163","0%","","","","",""
"... WA","7833","2%","","","","",""
"... WI","9889","2%","","","","",""
"... WV","9472","2%","","","","",""
"... WY","204","0%","","","","",""
