"SECONDARY_CATEGORIES","SECONDARY_CATEGORIES","odds.ratio","lower.bound","upper.bound","p.value"
"1","Age0 - 44","Age0 - 44","1.956","1.701","2.248","0"
"2","Age45 - 54","Age45 - 54","1.736","1.607","1.875","0"
"3","Age55 - 59","Age55 - 59","1.745","1.652","1.843","0"
"4","Age60 - 64","Age60 - 64","1.532","1.477","1.588","0"
"5","Age65 - 69","Age65 - 69","1.459","1.421","1.497","0"
"6","Age70 - 74","Age70 - 74","1.438","1.409","1.467","0"
"7","Age75 - 79","Age75 - 79","1.41","1.386","1.435","0"
"8","Age80 - 84","Age80 - 84","1.316","1.295","1.337","0"
"9","SexMale","SexMale","1.269","1.254","1.284","0"
"10","RaceASIAN","RaceASIAN","0.977","0.941","1.015","0.23"
"11","RaceBLACK","RaceBLACK","0.989","0.972","1.006","0.202"
"12","RaceOTHER","RaceOTHER","1.036","1.009","1.063","0.008"
"13","RaceUNABLE TO DETERMINE","RaceUNABLE TO DETERMINE","0.969","0.93","1.01","0.139"
"14","logLOS","logLOS","1.069","1.062","1.077","0"
"15","PayerCHARITY/INDIGENT","PayerCHARITY/INDIGENT","1.204","0.903","1.604","0.206"
"16","PayerCOMMERCIAL - INDEMNITY","PayerCOMMERCIAL - INDEMNITY","1.121","1.055","1.192","0"
"17","PayerDIRECT EMPLOYER CONTRACT","PayerDIRECT EMPLOYER CONTRACT","2.934","2.229","3.861","0"
"18","PayerMANAGED CARE - CAPITATED","PayerMANAGED CARE - CAPITATED","1.087","0.889","1.328","0.416"
"19","PayerMANAGED CARE - NON-CAP","PayerMANAGED CARE - NON-CAP","1.09","1.044","1.139","0"
"20","PayerMEDICAID - MGD CARE CAP","PayerMEDICAID - MGD CARE CAP","1.13","0.993","1.285","0.063"
"21","PayerMEDICAID - MGD CARE NON-CAP","PayerMEDICAID - MGD CARE NON-CAP","1.129","1.077","1.183","0"
"22","PayerMEDICAID - TRADITIONAL","PayerMEDICAID - TRADITIONAL","1.05","0.993","1.111","0.087"
"23","PayerMEDICARE - MGD CARE CAP","PayerMEDICARE - MGD CARE CAP","1.018","0.987","1.049","0.258"
"24","PayerMEDICARE - MGD CARE NON-CAP","PayerMEDICARE - MGD CARE NON-CAP","0.973","0.961","0.986","0"
"25","PayerOTHER","PayerOTHER","0.963","0.888","1.043","0.354"
